iter	Passed	Remaining
833	7816	1555
834	7824	1546
835	7832	1536
836	7841	1527
837	7850	1517
838	7859	1508
839	7869	1498
840	7878	1489
841	7886	1479
842	7895	1470
843	7904	1461
844	7914	1451
845	7921	1442
846	7928	1432
847	7938	1422
848	7948	1413
849	7958	1404
850	7966	1394
851	7974	1385
852	7983	1375
853	7993	1366
854	8002	1357
855	8009	1347
856	8018	1337
857	8027	1328
858	8036	1319
859	8044	1309
860	8052	1300
861	8060	1290
862	8068	1280
863	8076	1271
864	8083	1261
865	8092	1252
866	8100	1242
867	8108	1233
868	8117	1223
869	8127	1214
870	8138	1205
871	8149	1196
872	8160	1187
873	8168	1177
874	8176	1168
875	8185	1158
876	8194	1149
877	8202	1139
878	8211	1130
879	8219	1120
880	8228	1111
881	8236	1101
882	8243	1092
883	8251	1082
884	8259	1073
885	8266	1063
886	8272	1053
887	8279	1044
888	8288	1034
889	8295	1025
890	8302	1015
891	8310	1006
892	8318	996
893	8325	987
894	8332	977
895	8340	968
896	8347	958
897	8355	949
898	8361	939
899	8369	929
900	8376	920
901	8385	911
902	8391	901
903	8398	891
904	8406	882
905	8414	873
906	8421	863
907	8428	854
908	8435	844
909	8443	835
910	8451	825
911	8458	816
912	8465	806
913	8472	797
914	8479	787
915	8487	778
916	8495	768
917	8502	759
918	8509	749
919	8516	740
920	8525	731
921	8532	721
922	8539	712
923	8547	703
924	8555	693
925	8563	684
926	8569	674
927	8577	665
928	8585	656
929	8593	646
930	8600	637
931	8607	628
932	8615	618
933	8623	609
934	8631	600
935	8638	590
936	8646	581
937	8653	571
938	8660	562
939	8667	553
940	8675	543
941	8683	534
942	8690	525
943	8697	515
944	8705	506
945	8712	497
946	8720	488
947	8727	478
948	8737	469
949	8746	460
950	8753	450
951	8760	441
952	8767	432
953	8774	423
954	8782	413
955	8789	404
956	8797	395
957	8805	386
958	8812	376
959	8818	367
960	8826	358
961	8834	348
962	8845	339
963	8853	330
964	8860	321
965	8867	312
966	8875	302
967	8883	293
968	8890	284
969	8897	275
970	8905	265
971	8912	256
972	8921	247
973	8933	238
974	8940	229
975	8947	220
976	8956	210
977	8964	201
978	8973	192
979	8981	183
980	8988	174
981	8995	164
982	9004	155
983	9012	146
984	9022	137
985	9029	128
986	9036	119
987	9045	109
988	9052	100
989	9059	91
990	9066	82
991	9074	73
992	9081	64
993	9089	54
994	9097	45
995	9104	36
996	9115	27
997	9123	18
998	9131	9
999	9139	0
